"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 20, 0, 0, 0, 5, 6, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 11, 0, 0, 0, 5, 4, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 12, 0, 0, 0, 5, 4, 21
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 10, 5, 29
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 11, 4, 23
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Booking.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Category.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 6, 19
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Inbox.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Order.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 9, 43
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\OrderProduct.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Product.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 9, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Table.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Testimonial.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\TodaySpecials.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\User.php", "PHP", 0, 0, 34, 0, 0, 0, 16, 10, 60
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 8, 5, 25
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 11, 0, 0, 0, 11, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 3, 5, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 21, 0, 0, 0, 12, 6, 39
